carrier,airport,scheduled_departure,actual_departure,delay,date,day,month
Canadian North,YUL,2025-01-16T17:50:00Z,2025-01-16T18:13:00Z,23,2025-01-16,16,Jan
Air Canada,YOW,2025-11-04T16:05:00Z,2025-11-04T16:21:00Z,16,2025-11-04,4,Nov
Flair Airlines,YYZ,2025-10-12T08:00:00Z,2025-10-12T08:40:00Z,40,2025-10-12,12,Oct
Jazz Aviation,YYC,2025-05-10T16:40:00Z,2025-05-10T16:46:00Z,6,2025-05-10,10,May
Canadian North,YQB,2025-04-27T12:40:00Z,2025-04-27T13:00:00Z,20,2025-04-27,27,Apr
Air Transat,YVR,2025-03-07T12:00:00Z,2025-03-07T12:25:00Z,25,2025-03-07,7,Mar
WestJet,YVR,2025-10-23T14:10:00Z,2025-10-23T14:35:00Z,25,2025-10-23,23,Oct
Flair Airlines,YKF,2025-03-05T15:15:00Z,2025-03-05T15:31:00Z,16,2025-03-05,5,Mar
Canadian North,YEG,2025-01-15T06:25:00Z,2025-01-15T07:30:00Z,65,2025-01-15,15,Jan
Air Canada,YOW,2025-11-16T08:25:00Z,2025-11-16T08:30:00Z,5,2025-11-16,16,Nov
Air Canada,YXX,2025-06-18T13:40:00Z,2025-06-18T13:54:00Z,14,2025-06-18,18,Jun
Flair Airlines,YWG,2025-02-24T12:40:00Z,2025-02-24T13:11:00Z,31,2025-02-24,24,Feb
Air Canada,YOW,2025-07-17T15:50:00Z,2025-07-17T16:18:00Z,28,2025-07-17,17,Jul
Air Transat,YQR,2025-03-16T11:20:00Z,2025-03-16T11:43:00Z,23,2025-03-16,16,Mar
Flair Airlines,YYZ,2025-03-09T10:15:00Z,2025-03-09T10:55:00Z,40,2025-03-09,9,Mar
Air Canada,YOW,2025-01-31T12:00:00Z,2025-01-31T12:15:00Z,15,2025-01-31,31,Jan
Porter Airlines,YYC,2025-02-17T12:30:00Z,2025-02-17T12:52:00Z,22,2025-02-17,17,Feb
Flair Airlines,YWG,2025-08-06T17:25:00Z,2025-08-06T18:54:00Z,89,2025-08-06,6,Aug
WestJet,YYC,2025-09-04T20:10:00Z,2025-09-04T20:16:00Z,6,2025-09-04,4,Sep
Porter Airlines,YUL,2025-03-23T15:30:00Z,2025-03-23T15:35:00Z,5,2025-03-23,23,Mar
WestJet,YUL,2025-01-12T13:40:00Z,2025-01-12T14:02:00Z,22,2025-01-12,12,Jan
Flair Airlines,YQB,2025-11-03T08:20:00Z,2025-11-03T08:35:00Z,15,2025-11-03,3,Nov
Air Transat,YUL,2025-05-14T14:25:00Z,2025-05-14T14:52:00Z,27,2025-05-14,14,May
Air Canada,YYZ,2025-08-03T17:50:00Z,2025-08-03T18:18:00Z,28,2025-08-03,3,Aug
Air Canada,YEG,2025-03-07T20:10:00Z,2025-03-07T20:31:00Z,21,2025-03-07,7,Mar
Jazz Aviation,YEG,2025-10-22T17:55:00Z,2025-10-22T18:21:00Z,26,2025-10-22,22,Oct
WestJet,YYZ,2025-08-02T09:25:00Z,2025-08-02T10:31:00Z,66,2025-08-02,2,Aug
Flair Airlines,YUL,2025-12-31T16:55:00Z,2025-12-31T17:30:00Z,35,2025-12-31,31,Dec
WestJet,YQR,2025-01-12T21:30:00Z,2025-01-12T21:51:00Z,21,2025-01-12,12,Jan
Air Canada,YUL,2025-11-25T23:15:00Z,2025-11-25T23:23:00Z,8,2025-11-25,25,Nov
Flair Airlines,YUL,2025-05-24T21:15:00Z,2025-05-24T21:25:00Z,10,2025-05-24,24,May
Porter Airlines,YYC,2025-07-26T14:10:00Z,2025-07-26T14:27:00Z,17,2025-07-26,26,Jul
Air Transat,YQT,2025-05-07T07:00:00Z,2025-05-07T07:18:00Z,18,2025-05-07,7,May
Canadian North,YEG,2025-04-04T00:30:00Z,2025-04-04T00:42:00Z,12,2025-04-04,4,Apr
PAL Airlines,YEG,2025-10-25T08:25:00Z,2025-10-25T08:32:00Z,7,2025-10-25,25,Oct
Flair Airlines,YYZ,2025-06-30T08:40:00Z,2025-06-30T09:17:00Z,37,2025-06-30,30,Jun
WestJet,YYC,2025-12-27T12:10:00Z,2025-12-27T12:33:00Z,23,2025-12-27,27,Dec
Air Canada,YYC,2025-07-03T19:15:00Z,2025-07-03T19:52:00Z,37,2025-07-03,3,Jul
Air Canada,YWG,2025-03-03T07:10:00Z,2025-03-03T07:20:00Z,10,2025-03-03,3,Mar
Air Canada,YKF,2025-12-06T20:10:00Z,2025-12-06T20:30:00Z,20,2025-12-06,6,Dec
PAL Airlines,YQT,2025-08-11T16:50:00Z,2025-08-11T17:07:00Z,17,2025-08-11,11,Aug
Air Canada,YVR,2025-01-13T08:45:00Z,2025-01-13T09:09:00Z,24,2025-01-13,13,Jan
Flair Airlines,YEG,2025-04-07T02:45:00Z,2025-04-07T02:53:00Z,8,2025-04-07,7,Apr
Air Canada,YWG,2025-04-09T09:00:00Z,2025-04-09T09:09:00Z,9,2025-04-09,9,Apr
Flair Airlines,YYZ,2025-05-14T09:15:00Z,2025-05-14T09:51:00Z,36,2025-05-14,14,May
PAL Airlines,YYZ,2025-07-10T13:45:00Z,2025-07-10T14:09:00Z,24,2025-07-10,10,Jul
Porter Airlines,YKF,2025-01-25T14:25:00Z,2025-01-25T14:53:00Z,28,2025-01-25,25,Jan
Porter Airlines,YYZ,2025-10-25T11:40:00Z,2025-10-25T11:55:00Z,15,2025-10-25,25,Oct
WestJet,YWG,2025-07-31T18:00:00Z,2025-07-31T18:09:00Z,9,2025-07-31,31,Jul
Flair Airlines,YVR,2025-02-22T15:35:00Z,2025-02-22T16:13:00Z,38,2025-02-22,22,Feb
WestJet,YYZ,2025-12-28T12:15:00Z,2025-12-28T12:35:00Z,20,2025-12-28,28,Dec
Air Canada,YYZ,2025-05-11T21:10:00Z,2025-05-11T21:23:00Z,13,2025-05-11,11,May
Air Transat,YEG,2025-02-21T14:40:00Z,2025-02-21T15:08:00Z,28,2025-02-21,21,Feb
WestJet,YXX,2025-07-20T18:20:00Z,2025-07-20T19:08:00Z,48,2025-07-20,20,Jul
WestJet,YYC,2025-10-30T18:15:00Z,2025-10-30T19:32:00Z,77,2025-10-30,30,Oct
WestJet,YYZ,2025-02-21T17:50:00Z,2025-02-21T18:36:00Z,46,2025-02-21,21,Feb
Air Transat,YUL,2025-12-18T15:50:00Z,2025-12-18T16:18:00Z,28,2025-12-18,18,Dec
WestJet,YKF,2025-01-27T14:05:00Z,2025-01-27T14:32:00Z,27,2025-01-27,27,Jan
Air Canada,YUL,2025-02-27T16:05:00Z,2025-02-27T16:20:00Z,15,2025-02-27,27,Feb
Porter Airlines,YOW,2025-07-01T14:05:00Z,2025-07-01T15:19:00Z,74,2025-07-01,1,Jul
WestJet,YYZ,2025-01-09T14:00:00Z,2025-01-09T14:21:00Z,21,2025-01-09,9,Jan
Canadian North,YXX,2025-07-01T14:55:00Z,2025-07-01T15:04:00Z,9,2025-07-01,1,Jul
Air Transat,YYZ,2025-06-02T14:30:00Z,2025-06-02T15:39:00Z,69,2025-06-02,2,Jun
PAL Airlines,YEG,2025-10-18T15:20:00Z,2025-10-18T15:27:00Z,7,2025-10-18,18,Oct
Air Canada,YYC,2025-01-10T07:25:00Z,2025-01-10T08:13:00Z,48,2025-01-10,10,Jan
WestJet,YEG,2025-05-29T15:25:00Z,2025-05-29T15:46:00Z,21,2025-05-29,29,May
Air Canada,YVR,2025-12-08T10:00:00Z,2025-12-08T10:34:00Z,34,2025-12-08,8,Dec
Air Canada,YHZ,2025-12-18T23:00:00Z,2025-12-19T00:18:00Z,78,2025-12-18,18,Dec
Air Canada,YHZ,2025-03-09T13:55:00Z,2025-03-09T14:13:00Z,18,2025-03-09,9,Mar
Air Canada,YVR,2025-04-16T17:30:00Z,2025-04-16T17:50:00Z,20,2025-04-16,16,Apr
WestJet,YYZ,2025-04-29T17:15:00Z,2025-04-29T17:31:00Z,16,2025-04-29,29,Apr
WestJet,YYC,2025-04-26T07:25:00Z,2025-04-26T07:41:00Z,16,2025-04-26,26,Apr
Flair Airlines,YYC,2025-07-18T10:20:00Z,2025-07-18T10:35:00Z,15,2025-07-18,18,Jul
Porter Airlines,YXE,2025-04-11T19:15:00Z,2025-04-11T19:55:00Z,40,2025-04-11,11,Apr
Air Transat,YQB,2025-09-04T16:45:00Z,2025-09-04T16:55:00Z,10,2025-09-04,4,Sep
WestJet,YYT,2025-05-11T09:55:00Z,2025-05-11T10:24:00Z,29,2025-05-11,11,May
Air Canada,YVR,2025-01-10T07:30:00Z,2025-01-10T08:14:00Z,44,2025-01-10,10,Jan
Jazz Aviation,YYZ,2025-10-10T13:00:00Z,2025-10-10T13:19:00Z,19,2025-10-10,10,Oct
WestJet,YYZ,2025-10-16T09:00:00Z,2025-10-16T09:11:00Z,11,2025-10-16,16,Oct
Flair Airlines,YUL,2025-01-06T14:45:00Z,2025-01-06T15:33:00Z,48,2025-01-06,6,Jan
Porter Airlines,YKF,2025-02-12T17:15:00Z,2025-02-12T17:46:00Z,31,2025-02-12,12,Feb
Flair Airlines,YWG,2025-12-02T16:45:00Z,2025-12-02T17:05:00Z,20,2025-12-02,2,Dec
Air Canada,YYZ,2025-05-16T21:00:00Z,2025-05-16T21:27:00Z,27,2025-05-16,16,May
Canadian North,YUL,2025-12-25T20:50:00Z,2025-12-25T21:18:00Z,28,2025-12-25,25,Dec
Canadian North,YEG,2025-04-10T03:20:00Z,2025-04-10T03:34:00Z,14,2025-04-10,10,Apr
WestJet,YYC,2025-04-01T13:50:00Z,2025-04-01T13:55:00Z,5,2025-04-01,1,Apr
Porter Airlines,YUL,2025-09-13T13:20:00Z,2025-09-13T13:44:00Z,24,2025-09-13,13,Sep
WestJet,YYT,2025-09-28T07:35:00Z,2025-09-28T07:41:00Z,6,2025-09-28,28,Sep
Flair Airlines,YUL,2025-06-20T21:30:00Z,2025-06-20T22:33:00Z,63,2025-06-20,20,Jun
WestJet,YOW,2025-11-03T19:30:00Z,2025-11-03T19:57:00Z,27,2025-11-03,3,Nov
Air Canada,YYC,2025-01-20T05:15:00Z,2025-01-20T05:35:00Z,20,2025-01-20,20,Jan
PAL Airlines,YUL,2025-03-10T10:00:00Z,2025-03-10T10:13:00Z,13,2025-03-10,10,Mar
Air Canada,YYZ,2025-07-06T10:15:00Z,2025-07-06T10:33:00Z,18,2025-07-06,6,Jul
Flair Airlines,YQT,2025-09-24T08:50:00Z,2025-09-24T09:12:00Z,22,2025-09-24,24,Sep
Canadian North,YYC,2025-02-09T10:35:00Z,2025-02-09T11:28:00Z,53,2025-02-09,9,Feb
Porter Airlines,YUL,2025-08-07T18:30:00Z,2025-08-07T18:58:00Z,28,2025-08-07,7,Aug
WestJet,YYZ,2025-06-21T08:25:00Z,2025-06-21T08:40:00Z,15,2025-06-21,21,Jun
WestJet,YQT,2025-09-30T15:00:00Z,2025-09-30T15:04:00Z,4,2025-09-30,30,Sep
Canadian North,YHZ,2025-12-12T17:05:00Z,2025-12-12T17:39:00Z,34,2025-12-12,12,Dec
Air Canada,YEG,2025-11-11T12:15:00Z,2025-11-11T12:25:00Z,10,2025-11-11,11,Nov
Flair Airlines,YEG,2025-12-15T08:50:00Z,2025-12-15T09:20:00Z,30,2025-12-15,15,Dec
Air Canada,YYT,2025-04-08T10:10:00Z,2025-04-08T10:32:00Z,22,2025-04-08,8,Apr
Jazz Aviation,YYC,2025-05-17T09:35:00Z,2025-05-17T09:42:00Z,7,2025-05-17,17,May
Flair Airlines,YYT,2025-04-13T03:15:00Z,2025-04-13T03:58:00Z,43,2025-04-13,13,Apr
Flair Airlines,YYZ,2025-11-05T14:15:00Z,2025-11-05T14:33:00Z,18,2025-11-05,5,Nov
Canadian North,YYC,2025-02-21T14:40:00Z,2025-02-21T15:15:00Z,35,2025-02-21,21,Feb
WestJet,YQB,2025-03-03T10:20:00Z,2025-03-03T10:28:00Z,8,2025-03-03,3,Mar
WestJet,YUL,2025-02-20T08:15:00Z,2025-02-20T08:40:00Z,25,2025-02-20,20,Feb
Air Transat,YKF,2025-06-05T15:10:00Z,2025-06-05T15:26:00Z,16,2025-06-05,5,Jun
PAL Airlines,YYC,2025-12-07T12:15:00Z,2025-12-07T12:31:00Z,16,2025-12-07,7,Dec
Flair Airlines,YHZ,2025-01-25T21:30:00Z,2025-01-25T23:16:00Z,106,2025-01-25,25,Jan
Air Canada,YUL,2025-01-26T10:25:00Z,2025-01-26T10:56:00Z,31,2025-01-26,26,Jan
Flair Airlines,YYZ,2025-01-28T14:55:00Z,2025-01-28T15:20:00Z,25,2025-01-28,28,Jan
Flair Airlines,YYT,2025-12-11T16:25:00Z,2025-12-11T16:53:00Z,28,2025-12-11,11,Dec
WestJet,YUL,2025-01-02T17:30:00Z,2025-01-02T18:10:00Z,40,2025-01-02,2,Jan
Porter Airlines,YKF,2025-10-21T18:20:00Z,2025-10-21T18:28:00Z,8,2025-10-21,21,Oct
WestJet,YYC,2025-08-18T14:50:00Z,2025-08-18T15:02:00Z,12,2025-08-18,18,Aug
Flair Airlines,YEG,2025-12-19T16:40:00Z,2025-12-19T17:01:00Z,21,2025-12-19,19,Dec
Porter Airlines,YYZ,2025-11-08T02:55:00Z,2025-11-08T03:03:00Z,8,2025-11-08,8,Nov
Porter Airlines,YQB,2025-06-01T07:30:00Z,2025-06-01T07:37:00Z,7,2025-06-01,1,Jun
Air Canada,YYZ,2025-06-11T21:20:00Z,2025-06-11T21:59:00Z,39,2025-06-11,11,Jun
PAL Airlines,YYC,2025-02-24T15:05:00Z,2025-02-24T15:26:00Z,21,2025-02-24,24,Feb
PAL Airlines,YVR,2025-01-12T00:05:00Z,2025-01-12T00:33:00Z,28,2025-01-12,12,Jan
Jazz Aviation,YYZ,2025-05-21T17:40:00Z,2025-05-21T18:03:00Z,23,2025-05-21,21,May
Porter Airlines,YYZ,2025-04-28T10:55:00Z,2025-04-28T11:01:00Z,6,2025-04-28,28,Apr
Air Transat,YYC,2025-04-04T08:40:00Z,2025-04-04T08:56:00Z,16,2025-04-04,4,Apr
Air Canada,YOW,2025-07-31T05:40:00Z,2025-07-31T06:07:00Z,27,2025-07-31,31,Jul
Flair Airlines,YEG,2025-09-27T11:35:00Z,2025-09-27T11:54:00Z,19,2025-09-27,27,Sep
Porter Airlines,YYT,2025-07-17T11:50:00Z,2025-07-17T12:01:00Z,11,2025-07-17,17,Jul
Air Transat,YUL,2025-06-25T21:45:00Z,2025-06-25T22:11:00Z,26,2025-06-25,25,Jun
Air Canada,YQB,2025-02-06T17:00:00Z,2025-02-06T18:12:00Z,72,2025-02-06,6,Feb
WestJet,YVR,2025-11-24T15:30:00Z,2025-11-24T15:41:00Z,11,2025-11-24,24,Nov
Flair Airlines,YYC,2025-10-18T10:25:00Z,2025-10-18T10:47:00Z,22,2025-10-18,18,Oct
WestJet,YVR,2025-01-05T04:40:00Z,2025-01-05T04:56:00Z,16,2025-01-05,5,Jan
Air Transat,YQB,2025-04-07T09:00:00Z,2025-04-07T09:07:00Z,7,2025-04-07,7,Apr
Air Canada,YXE,2025-08-09T09:40:00Z,2025-08-09T10:00:00Z,20,2025-08-09,9,Aug
WestJet,YYZ,2025-05-27T08:30:00Z,2025-05-27T09:27:00Z,57,2025-05-27,27,May
Air Transat,YYT,2025-02-16T12:15:00Z,2025-02-16T13:25:00Z,70,2025-02-16,16,Feb
Air Transat,YVR,2025-06-04T13:30:00Z,2025-06-04T13:50:00Z,20,2025-06-04,4,Jun
Porter Airlines,YHZ,2025-06-12T02:45:00Z,2025-06-12T03:00:00Z,15,2025-06-12,12,Jun
Air Canada,YVR,2025-01-09T14:30:00Z,2025-01-09T14:45:00Z,15,2025-01-09,9,Jan
Jazz Aviation,YQB,2025-12-21T07:20:00Z,2025-12-21T07:32:00Z,12,2025-12-21,21,Dec
Air Canada,YVR,2025-10-11T14:40:00Z,2025-10-11T15:12:00Z,32,2025-10-11,11,Oct
WestJet,YHZ,2025-08-06T22:00:00Z,2025-08-06T22:16:00Z,16,2025-08-06,6,Aug
Flair Airlines,YVR,2025-07-02T15:25:00Z,2025-07-02T15:38:00Z,13,2025-07-02,2,Jul
Canadian North,YYZ,2025-07-02T09:50:00Z,2025-07-02T10:04:00Z,14,2025-07-02,2,Jul
Air Transat,YQT,2025-09-15T19:45:00Z,2025-09-15T20:02:00Z,17,2025-09-15,15,Sep
Jazz Aviation,YYC,2025-08-16T07:15:00Z,2025-08-16T07:49:00Z,34,2025-08-16,16,Aug
WestJet,YYC,2025-12-02T10:25:00Z,2025-12-02T10:49:00Z,24,2025-12-02,2,Dec
WestJet,YVR,2025-04-26T08:40:00Z,2025-04-26T08:52:00Z,12,2025-04-26,26,Apr
Jazz Aviation,YUL,2025-10-16T15:20:00Z,2025-10-16T15:41:00Z,21,2025-10-16,16,Oct
Air Canada,YXE,2025-01-23T16:25:00Z,2025-01-23T16:49:00Z,24,2025-01-23,23,Jan
Porter Airlines,YVR,2025-12-01T11:35:00Z,2025-12-01T12:14:00Z,39,2025-12-01,1,Dec
Air Canada,YUL,2025-06-05T15:50:00Z,2025-06-05T16:16:00Z,26,2025-06-05,5,Jun
Air Canada,YQB,2025-03-07T12:40:00Z,2025-03-07T12:59:00Z,19,2025-03-07,7,Mar
Air Transat,YEG,2025-10-29T14:45:00Z,2025-10-29T15:09:00Z,24,2025-10-29,29,Oct
PAL Airlines,YVR,2025-12-02T15:15:00Z,2025-12-02T15:37:00Z,22,2025-12-02,2,Dec
Air Canada,YYZ,2025-05-05T09:50:00Z,2025-05-05T10:02:00Z,12,2025-05-05,5,May
Flair Airlines,YWG,2025-11-08T10:20:00Z,2025-11-08T10:44:00Z,24,2025-11-08,8,Nov
Flair Airlines,YEG,2025-12-06T22:45:00Z,2025-12-06T23:01:00Z,16,2025-12-06,6,Dec
Porter Airlines,YYC,2025-12-28T10:15:00Z,2025-12-28T10:31:00Z,16,2025-12-28,28,Dec
Porter Airlines,YHZ,2025-11-26T16:35:00Z,2025-11-26T16:44:00Z,9,2025-11-26,26,Nov
Air Canada,YYC,2025-02-12T13:20:00Z,2025-02-12T13:34:00Z,14,2025-02-12,12,Feb
Air Canada,YQB,2025-06-02T12:40:00Z,2025-06-02T13:11:00Z,31,2025-06-02,2,Jun
Porter Airlines,YYT,2025-01-13T15:30:00Z,2025-01-13T15:55:00Z,25,2025-01-13,13,Jan
Air Canada,YOW,2025-01-21T14:25:00Z,2025-01-21T14:48:00Z,23,2025-01-21,21,Jan
Air Transat,YYZ,2025-10-09T18:05:00Z,2025-10-09T18:17:00Z,12,2025-10-09,9,Oct
WestJet,YXE,2025-10-10T15:45:00Z,2025-10-10T16:04:00Z,19,2025-10-10,10,Oct
Air Canada,YYC,2025-04-17T14:10:00Z,2025-04-17T14:16:00Z,6,2025-04-17,17,Apr
Flair Airlines,YOW,2025-11-14T15:45:00Z,2025-11-14T16:07:00Z,22,2025-11-14,14,Nov
Air Canada,YVR,2025-11-03T12:35:00Z,2025-11-03T12:42:00Z,7,2025-11-03,3,Nov
Air Canada,YKF,2025-09-04T10:35:00Z,2025-09-04T11:00:00Z,25,2025-09-04,4,Sep
Air Canada,YYZ,2025-06-08T06:25:00Z,2025-06-08T06:42:00Z,17,2025-06-08,8,Jun
Flair Airlines,YYZ,2025-04-03T14:40:00Z,2025-04-03T15:00:00Z,20,2025-04-03,3,Apr
Jazz Aviation,YVR,2025-07-19T15:20:00Z,2025-07-19T15:36:00Z,16,2025-07-19,19,Jul
Air Canada,YYZ,2025-02-16T10:35:00Z,2025-02-16T11:05:00Z,30,2025-02-16,16,Feb
Flair Airlines,YWG,2025-06-15T22:25:00Z,2025-06-15T22:46:00Z,21,2025-06-15,15,Jun
WestJet,YWG,2025-02-24T16:45:00Z,2025-02-24T17:00:00Z,15,2025-02-24,24,Feb
WestJet,YYC,2025-02-08T18:10:00Z,2025-02-08T18:32:00Z,22,2025-02-08,8,Feb
WestJet,YYC,2025-07-11T11:35:00Z,2025-07-11T12:11:00Z,36,2025-07-11,11,Jul
PAL Airlines,YKF,2025-11-05T15:30:00Z,2025-11-05T16:08:00Z,38,2025-11-05,5,Nov
WestJet,YVR,2025-12-30T12:15:00Z,2025-12-30T12:32:00Z,17,2025-12-30,30,Dec
PAL Airlines,YUL,2025-04-27T14:55:00Z,2025-04-27T15:05:00Z,10,2025-04-27,27,Apr
Canadian North,YWG,2025-06-01T15:10:00Z,2025-06-01T15:20:00Z,10,2025-06-01,1,Jun
Porter Airlines,YQR,2025-08-10T14:15:00Z,2025-08-10T14:28:00Z,13,2025-08-10,10,Aug
WestJet,YEG,2025-07-05T13:45:00Z,2025-07-05T14:06:00Z,21,2025-07-05,5,Jul
PAL Airlines,YXE,2025-08-07T09:30:00Z,2025-08-07T09:53:00Z,23,2025-08-07,7,Aug
WestJet,YOW,2025-09-17T13:50:00Z,2025-09-17T14:11:00Z,21,2025-09-17,17,Sep
PAL Airlines,YQR,2025-03-25T11:35:00Z,2025-03-25T12:00:00Z,25,2025-03-25,25,Mar
Air Canada,YEG,2025-02-22T14:20:00Z,2025-02-22T14:40:00Z,20,2025-02-22,22,Feb
Air Transat,YVR,2025-07-19T15:30:00Z,2025-07-19T15:47:00Z,17,2025-07-19,19,Jul
Air Canada,YYC,2025-11-24T09:55:00Z,2025-11-24T10:05:00Z,10,2025-11-24,24,Nov
Flair Airlines,YYZ,2025-10-22T09:50:00Z,2025-10-22T10:58:00Z,68,2025-10-22,22,Oct
Canadian North,YOW,2025-01-22T13:50:00Z,2025-01-22T14:12:00Z,22,2025-01-22,22,Jan
Air Canada,YEG,2025-05-18T11:35:00Z,2025-05-18T11:40:00Z,5,2025-05-18,18,May
WestJet,YYZ,2025-04-12T23:55:00Z,2025-04-13T00:12:00Z,17,2025-04-12,12,Apr
Air Canada,YQT,2025-01-24T07:10:00Z,2025-01-24T07:38:00Z,28,2025-01-24,24,Jan
Porter Airlines,YYZ,2025-06-02T15:30:00Z,2025-06-02T15:55:00Z,25,2025-06-02,2,Jun
WestJet,YOW,2025-01-12T06:35:00Z,2025-01-12T06:49:00Z,14,2025-01-12,12,Jan
WestJet,YVR,2025-01-20T14:15:00Z,2025-01-20T14:31:00Z,16,2025-01-20,20,Jan
Air Canada,YVR,2025-10-15T19:30:00Z,2025-10-15T19:47:00Z,17,2025-10-15,15,Oct
Air Canada,YUL,2025-12-23T16:30:00Z,2025-12-23T16:49:00Z,19,2025-12-23,23,Dec
Air Transat,YUL,2025-10-05T19:50:00Z,2025-10-05T20:10:00Z,20,2025-10-05,5,Oct
WestJet,YYT,2025-03-09T10:00:00Z,2025-03-09T10:43:00Z,43,2025-03-09,9,Mar
PAL Airlines,YEG,2025-01-02T21:55:00Z,2025-01-02T22:19:00Z,24,2025-01-02,2,Jan
Jazz Aviation,YWG,2025-07-17T16:50:00Z,2025-07-17T16:58:00Z,8,2025-07-17,17,Jul
WestJet,YVR,2025-06-16T13:20:00Z,2025-06-16T13:30:00Z,10,2025-06-16,16,Jun
WestJet,YUL,2025-03-02T11:35:00Z,2025-03-02T11:49:00Z,14,2025-03-02,2,Mar
Air Canada,YYZ,2025-07-09T15:45:00Z,2025-07-09T15:56:00Z,11,2025-07-09,9,Jul
Air Canada,YYT,2025-01-06T09:45:00Z,2025-01-06T10:10:00Z,25,2025-01-06,6,Jan
Porter Airlines,YUL,2025-03-11T13:00:00Z,2025-03-11T13:07:00Z,7,2025-03-11,11,Mar
Flair Airlines,YYC,2025-06-27T06:15:00Z,2025-06-27T06:27:00Z,12,2025-06-27,27,Jun
PAL Airlines,YVR,2025-11-12T12:30:00Z,2025-11-12T12:48:00Z,18,2025-11-12,12,Nov
Porter Airlines,YEG,2025-03-12T03:50:00Z,2025-03-12T04:03:00Z,13,2025-03-12,12,Mar
WestJet,YYZ,2025-11-27T17:30:00Z,2025-11-27T17:57:00Z,27,2025-11-27,27,Nov
Flair Airlines,YVR,2025-02-22T11:20:00Z,2025-02-22T12:18:00Z,58,2025-02-22,22,Feb
Air Canada,YYZ,2025-11-11T18:50:00Z,2025-11-11T19:02:00Z,12,2025-11-11,11,Nov
PAL Airlines,YYZ,2025-07-29T16:05:00Z,2025-07-29T16:18:00Z,13,2025-07-29,29,Jul
WestJet,YYC,2025-03-17T10:20:00Z,2025-03-17T10:37:00Z,17,2025-03-17,17,Mar
WestJet,YVR,2025-04-13T07:10:00Z,2025-04-13T08:10:00Z,60,2025-04-13,13,Apr
Jazz Aviation,YEG,2025-05-15T15:00:00Z,2025-05-15T15:30:00Z,30,2025-05-15,15,May
Air Transat,YYT,2025-03-24T16:20:00Z,2025-03-24T16:38:00Z,18,2025-03-24,24,Mar
Porter Airlines,YVR,2025-05-07T10:40:00Z,2025-05-07T10:45:00Z,5,2025-05-07,7,May
Flair Airlines,YVR,2025-10-27T15:25:00Z,2025-10-27T16:09:00Z,44,2025-10-27,27,Oct
WestJet,YQB,2025-11-19T11:00:00Z,2025-11-19T11:15:00Z,15,2025-11-19,19,Nov
Air Canada,YYZ,2025-09-17T09:35:00Z,2025-09-17T09:59:00Z,24,2025-09-17,17,Sep
Jazz Aviation,YQB,2025-07-21T15:40:00Z,2025-07-21T15:49:00Z,9,2025-07-21,21,Jul
WestJet,YQB,2025-03-09T10:10:00Z,2025-03-09T10:14:00Z,4,2025-03-09,9,Mar
WestJet,YQB,2025-02-18T09:30:00Z,2025-02-18T09:55:00Z,25,2025-02-18,18,Feb
Air Canada,YXE,2025-10-31T10:20:00Z,2025-10-31T10:29:00Z,9,2025-10-31,31,Oct
Air Canada,YUL,2025-09-28T07:35:00Z,2025-09-28T07:52:00Z,17,2025-09-28,28,Sep
Flair Airlines,YOW,2025-09-04T08:45:00Z,2025-09-04T08:53:00Z,8,2025-09-04,4,Sep
WestJet,YWG,2025-09-04T16:10:00Z,2025-09-04T16:17:00Z,7,2025-09-04,4,Sep
Porter Airlines,YEG,2025-08-05T06:35:00Z,2025-08-05T07:21:00Z,46,2025-08-05,5,Aug
Flair Airlines,YUL,2025-05-24T16:40:00Z,2025-05-24T17:03:00Z,23,2025-05-24,24,May
WestJet,YUL,2025-11-09T09:45:00Z,2025-11-09T10:14:00Z,29,2025-11-09,9,Nov
Porter Airlines,YVR,2025-12-09T14:15:00Z,2025-12-09T14:28:00Z,13,2025-12-09,9,Dec
Air Canada,YYZ,2025-06-13T15:40:00Z,2025-06-13T16:05:00Z,25,2025-06-13,13,Jun
Flair Airlines,YHZ,2025-03-06T02:00:00Z,2025-03-06T02:19:00Z,19,2025-03-06,6,Mar
Air Transat,YWG,2025-03-11T09:45:00Z,2025-03-11T09:58:00Z,13,2025-03-11,11,Mar
Porter Airlines,YHZ,2025-04-12T11:20:00Z,2025-04-12T11:27:00Z,7,2025-04-12,12,Apr
WestJet,YVR,2025-08-05T16:35:00Z,2025-08-05T16:49:00Z,14,2025-08-05,5,Aug
WestJet,YYZ,2025-04-30T11:55:00Z,2025-04-30T12:05:00Z,10,2025-04-30,30,Apr
Porter Airlines,YYC,2025-08-07T00:30:00Z,2025-08-07T00:57:00Z,27,2025-08-07,7,Aug
Jazz Aviation,YYZ,2025-03-21T08:30:00Z,2025-03-21T08:43:00Z,13,2025-03-21,21,Mar
Porter Airlines,YYC,2025-01-19T11:40:00Z,2025-01-19T11:52:00Z,12,2025-01-19,19,Jan
Porter Airlines,YYZ,2025-10-11T06:25:00Z,2025-10-11T06:59:00Z,34,2025-10-11,11,Oct
Porter Airlines,YHZ,2025-01-25T16:05:00Z,2025-01-25T16:17:00Z,12,2025-01-25,25,Jan
Canadian North,YVR,2025-11-02T17:50:00Z,2025-11-02T18:12:00Z,22,2025-11-02,2,Nov
WestJet,YQB,2025-07-13T06:00:00Z,2025-07-13T06:06:00Z,6,2025-07-13,13,Jul
